"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АКТИВ СОЛАР""","THE LIMITED LIABILITY COMPANY ""ACTIV SOLAR""",,,,"LIMITED LIABILITY COMPANY ""ACTIV SOLAR""",,
P & A Corporate Services Trust,P & A Corporate Services Trust,,,,P & A Corporate Services Trust,,
AhBolom B.V.,AhBolom B. V.,,,,AhBolom B. V.,,
CEE Clean Economic Energy AG,CEE Clean Economic Energy AG,,,,CEE Clean Economic Energy AG,,
Larnaca B.V.,Larnaca B. V.,,,,Larnaca B. V.,,
Fiduciaire Probitas S.A.R.L,Fiduciaire Probitas S. A. R. L,,,,Fiduciaire Probitas S. A. R. L,,
CEE Clean Economic Energy Holdings Limited,CEE Clean Economic Energy Holdings Limited,,,,CEE Clean Economic Energy Holdings Limited,,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЗЕТА СОЛАР""","SOCIETY WITH LIMITED LIABILITY ""ZETA SOLAR""",,,,"LIMITED LIABILITY COMPANY ""ZETA SOLAR""",,
CEE Clean Economic Energy Holding S.A.R.L.,CEE Clean Economic Energy Holding S. A. R. L.,,,,CEE Clean Economic Energy Holding S. A. R. L.,,
"Республіканський комітету Криму з палива, енергетики та інноваційної політики","Republican Committee of Crimea on fuel, energy and innovation policy",,,,"Republican Committee of Crimea on Fuel, Energy and Innovation Policy",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 4""","SOCIETY WITH LIMITED LIABILITY ""CRIME SOLAR 4""",,,,"LIMITED LIABILITY COMPANY ""CRIMEA SOLAR 4""",,
"ТОВ ""КРАЙМІА СОЛАР4""","LLC ""CRIMEA SOLAR""",,,,"LLC ""CRIMEA SOLAR""",,
Народно-Демократична партія патріотів України,The people's Democratic party of patriots of Ukraine,,,,The people's Democratic party of patriots of Ukraine,,
Християнсько-Ліберальна партія України,Christian Liberal party of Ukraine,,,,Christian Liberal party of Ukraine,,
Всеукраїнське об’єднання «Свобода»,"All-Ukrainian Union ""Svoboda""",,,,"All-Ukrainian Union ""Svoboda""",,
Всеукраїнське об’єднання «ДЕМОКРАТИ (Демократична партія)»,"All-Ukrainian Union ""DEMOCRATS (Democratic party)""",,,,"All-Ukrainian Union ""DEMOCRATS (Democratic party)""",,
Народна Партія,The People's Party,,,,The People's Party,,
Політична партія «Справжня Україна»,"Political party ""Real Ukraine""",,,,"Political party ""Real Ukraine""",,
Партія захисників Вітчизни,The party of defenders of Fatherland,,,,Party of Defenders of Homeland,,
Республіканська Християнська партія,Republican Christian party,,,,Republican Christian party,,
Політична партія «ПРАВИЙ СЕКТОР»,"Political party ""RIGHT SECTOR""",,,,"Political party ""RIGHT SECTOR""",,
Партія «Реформи і порядок»,"The party ""Reforms and order""",,,,"Party ""Reforms and order""",,
ПАРТІЯ РЕГІОНІВ,THE PARTY of REGIONS,,,,PARTY of REGIONS,,
Партія «НАРОДНИЙ БЛОК»,"Party ""people's BLOC""",,,,"Party ""PEOPLE'S BLOC""",,
Партія «За Права Людини»,"The Party ""For Human Rights""",,,,"Party ""For Human Rights""",,
ПАРТІЯ «РУСЬ»,"THE PARTY ""RUS""",,,,"PARTY ""RUS""",,
Партія Наталії Королевської «Україна – Вперед!»,"The Party of Natalia Korolevska ""Ukraine – Forward!""",,,,"Party of Natalia Korolevska ""Ukraine – Forward!""",,
Патріотична партія України,Patriotic party of Ukraine,,,,Patriotic Party of Ukraine,,
Політична партія малого і середнього бізнесу України,Political party of small and medium business in Ukraine,,,,Political Party of Small and Medium Business of Ukraine,,
Політична партія «Держава»,"Political party ""Power""",,,,"Political party ""Power""","Political party ""Derzhava""",
Партія «НАШ ДІМ УКРАЇНА»,"The party ""OUR HOUSE UKRAINE""",,,,"Party ""OUR HOME UKRAINE""","The Party ""Nash Dim Ukraina""",
Політична партія Українська платформа «СОБОР»,"Political party Ukrainian platform ""SOBOR""",,,,"Political party Ukrainian platform ""SOBOR""",,
Партія Зелених України,The Green Party of Ukraine,,,,The Green Party of Ukraine,,
Демократична партія України,Democratic party of Ukraine,,,,Democratic party of Ukraine,,
Ліберальна партія України,Liberal party of Ukraine,,,,Liberal party of Ukraine,,
Селянська партія України,Peasant party of Ukraine,,,,Peasant party of Ukraine,,
Ліберально-демократична партія України,Liberal-democratic party of Ukraine,,,,Liberal democratic party of Ukraine,,
Українська Національна Консервативна партія,Ukrainian national Conservative party,,,,Ukrainian national Conservative Party,,
Християнсько-демократична партія України,Christian democratic party of Ukraine,,,,Christian democratic party of Ukraine,,
Конгрес Українських Націоналістів,The Congress of Ukrainian Nationalists,,,,Congress of Ukrainian Nationalists,,
Народний Рух України,People's Movement of Ukraine,,,,People's Movement of Ukraine,,
Партія ветеранів Афганістану,The party of veterans of Afghanistan,,,,Party of Veterans of Afghanistan,,
Соціал-демократична партія України,The social democratic party of Ukraine,,,,Social Democratic Party of Ukraine,,
Партія «Віче»,"Party ""Veche""",,,,"Party ""Viche""",,
Партія відродження села,The party of revival of the village,,,,Rural Revival Party,,
Слов’янська партія,Slavic party,,,,Slavic Party,,
Комуністична партія України,The Communist party of Ukraine,,,,The Communist Party of Ukraine,,
Політична партія Всеукраїнське об’єднання «Громада»,"Political party all-Ukrainian Association ""Hromada""",,,,"All-Ukrainian Association ""Community""","Political Party All-Ukrainian Association ""Hromada""",
Партія Християнсько-Демократичний Союз,Party Christian Democratic Union,,,,Party Christian Democratic Union,,
Партія «Союз»,"Party ""Union""",,,,"Party ""Union""","Party ""Souyz""",
Black Sea Renewable Energies GmbH,Black Sea Renewable Energies GmbH,,,,Black Sea Renewable Energies GmbH,,
"ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГАММА СОЛАР""","LIMITED LIABILITY COMPANY ""GAMMA SOLAR""",,,,"LIMITED LIABILITY COMPANY ""GAMMA SOLAR""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 3""","SOCIETY WITH LIMITED LIABILITY ""CRIME SOLAR 3""",,,,"LIMITED LIABILITY COMPANY ""CRIMEA SOLAR 3""",,
"ТОВ ""КРАЙМІА СОЛАР 3""","LLC ""CRIMEA SOLAR 3""",,,,"LLC ""CRIMEA SOLAR 3""",,
Приватне акціонерне товариство «НЕПТУН СОЛАР»,"Private joint stock company ""NEPTUNE SOLAR""",,,,"Private joint stock company ""NEPTUNE SOLAR""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 2""","SOCIETY WITH LIMITED LIABILITY ""CRIME SOLAR 2""",,,,"LIMITED LIABILITY COMPANY ""CRIMEA SOLAR 2""",,
"ТОВ ""КРАЙМІА СОЛАР 2""","LLC ""CRIMEA SOLAR 2""",,,,"LLC ""CRIMEA SOLAR 2""",,
Paradocs Reserach S.A.,Paradocs Reserach S. A.,,,,Paradocs Reserach S. A.,,
Українська партія «Єдність»,"The Ukrainian party ""Unity""",,,,"Ukrainian party ""Unity""","Ukrainian party ""Yednist""",
Партія промисловців і підприємців України,The party of Industrialists and entrepreneurs of Ukraine,,,,The party of Industrialists and Entrepreneurs of Ukraine,,
Політична партія «За Україну!»,"Political party ""For Ukraine!""",,,,"Political party ""For Ukraine!""",,
ПАРТІЯ «БЛОК ПЕТРА ПОРОШЕНКА «СОЛІДАРНІСТЬ»,"THE PARTY ""BLOCK of PETRO POROSHENKO ""SOLIDARITY""",,,,"PARTY ""BLOCK of PETRO POROSHENKO ""SOLIDARITY""",,
Партія «Справедливість»,"The Party ""Justice""",,,,"Party ""Justice""",,
Політична партія «Трудова Україна»,"Political party ""Labour Ukraine""",,,,"Political Party ""Labour Ukraine""",,
Всеукраїнська партія Народної Довіри,All-Ukrainian party of people's Trust,,,,All-Ukrainian Party of People's Trust,,
Партія «Національно-демократичне об’єднання «Україна»,"The party ""National-demokratichne Association ""Ukraine""",,,,"Party ""National Democratic Association ""Ukraine""",,
Комуністична партія України (оновлена),The Communist party of Ukraine (updated),,,,Communist Party of Ukraine (renewed),,
Народний Рух України за єдність,People's movement of Ukraine for unity,,,,People's Movement of Ukraine for Unity,,
Українська політична партія «Християнський рух»,"Ukrainian political party ""Christian movement""",,,,"Ukrainian Political Party ""Christian movement""",,
Політична партія «Нова політика»,"Political party ""New policy""",,,,"Political party ""New Policy""","Political party ""Nova polityka""",
Зелена екологічна партія України «Райдуга»,"Green ecological party of Ukraine ""rainbow""",,,,"Green Ecological Party of Ukraine ""Rainbow""","Green Ecological Party of Ukraine ""Raduha""",
Українська морська партія Сергія Ківалова,Ukrainian naval party Sergey Kivalov,,,,Ukrainian Naval Party of Serhiy Kivalov,,
Комуністична партія робітників і селян,Communist party of workers and peasants,,,,Communist Party of Workers and Peasants,,
Всеукраїнська партія духовності і патріотизму,All-Ukrainian party of spirituality and patriotism,,,,All-Ukrainian party of Spirituality and Patriotism,,
Політична партія «Вітчизна»,"Political party ""Motherland""",,,,"Political party ""Motherland""",,
Соціально-екологічна партія «Союз. Чорнобиль. Україна.»,"Social-ecological party ""Union. Chernobyl. Ukraine.""",,,,"Social Ecological party ""Union. Chernobyl. Ukraine.""",,
Політична партія «Союз анархістів України»,"Political party ""Union of anarchists of Ukraine""",,,,"Political party ""Union of Anarchists of Ukraine""",,
Соціально-Християнська Партія,Social Christian Party,,,,Social Christian Party,,
Всеукраїнська політична партія «БРАТСТВО»,"All-Ukrainian political party ""BROTHERHOOD""",,,,"All-Ukrainian political party ""BROTHERHOOD""","All-Ukrainian political party ""BRATSTVO""",
Партія державного нейтралітету України,The party of State neutrality of Ukraine,,,,Party of State Neutrality of Ukraine,,
Політична партія «Сила і Честь»,"Political party ""Syla""",,,,"Political Party ""Strength and Honor""",,
Політична Партія «Всеукраїнський патріотичний союз»,"Political Party ""all-Ukrainian Patriotic Union""",,,,"Political Party ""All-Ukrainian Patriotic Union""",,
Політична Партія «Третя Сила»,"Political Party ""Third Force""",,,,"Political Party ""Third Force""",,
«КМКС» Партія угорців України,"""KMX"" the Party of Hungarians of Ukraine",,,,"""KMKS"" the Party of Hungarians of Ukraine",,
Політична партія «ДОВІРЯЙ ДІЛАМ»,"Political party ""TRUST MATTERS""",,,,"Political Party ""TRUST MATTERS""","Political party ""Doviriay Dilam""",
Партія «Громадська сила»,"The party ""Civil force""",,,,"Party ""Civil force""",,
ВСЕУКРАЇНСЬКЕ ПОЛІТИЧНЕ ОБ’ЄДНАННЯ «Україна - ЄДИНА КРАЇНА»,"All-UKRAINIAN POLITICAL ASSOCIATION ""Ukraine - United COUNTRY""",,,,"All-UKRAINIAN POLITICAL ASSOCIATION ""UKRAINE - UNITED COUNTRY""",,
Політична партія «ТРЕТЯ УКРАЇНСЬКА РЕСПУБЛІКА»,"Political party ""THIRD UKRAINIAN REPUBLIC""",,,,"Political party ""THIRD UKRAINIAN REPUBLIC""",,
Політична партія Ліберальна Україна,Political party Liberal Ukraine,,,,Political party Liberal Ukraine,,
Політична партія «Молода Україна»,"Political party ""Young Ukraine""",,,,"Political party ""Young Ukraine""",,
Молодіжна партія України,Youth party of Ukraine,,,,Youth party of Ukraine,,
Всеукраїнське об’єднання «Батьківщина»,"All-Ukrainian Union ""Batkivshchyna""",,,,"All-Ukrainian Union ""Fatherland""","All-Ukrainian Union ""Batkivshchyna""",
Єдиний Центр,United Center,,,,United Centre,Yedynyi Tsentr,
Партія вільних демократів,The party of free Democrats,,,,Party of free Democrats,,
Партія Пенсіонерів України,Party of Pensioners of Ukraine,,,,Party of Pensioners of Ukraine,,
Політична партія «Всеукраїнське об’єднання «ЦЕНТР»,"Political party ""all-Ukrainian Union ""CENTER""",,,,"Political Party ""All-Ukrainian Union ""CENTER""",,
Партія «РОДИНА»,"The party ""RODINA""",,,,"Party ""RODINA""",Party Motherland,
Всеукраїнська партія «Нова Сила»,"All-Ukrainian party ""New Force""",,,,"All-Ukrainian Party ""New Force""","All-Ukrainian Party ""Nova Syla""",
Партія «Солідарність жінок України»,"The party ""Solidarity of women of Ukraine""",,,,"Party ""Solidarity of women of Ukraine""",,
