Гія,Гия,,
Інна,Инна,исправлено в оригинальной таблице и в админке,
Ліана,Лиана,правильно,
Ліліана,Лилиана,правильно,
Хачатур,Хачатур,правильно,
Таміла,Тамила,правильно,
Генадій,Геннадий,правильно,
Юрій-Богдан,Юрий-Богдан,правильно,
Єлєна,Елена,правильно,
Рейнхард,Рейнхард,правильно,
Аксана,Аксана,правильно,
Ніла,Нила,правильно,
Рауфа,Рауфа,правильно,
Кароліна,Каролина,правильно,
Олена Леонідівна,Елена Леонидовна,Исправлено в админке,
Романа,Романа,правильно,
Ласло,Ласло,правильно,
Антоніна,Антонина,правильно,
Тарівєрді,Тариверди,Исправлено в админке,
Надія,Надежда,правильно,
Віринея,Виринея,Исправлено,
Майя,Майя,правильно,
Мустафа-Масі,Мустафа-Маси,Исправлено,
"Миколайович,",Николаевич,Исправлено,
Алеся,Алеся,Правильно,
Екатерина,Екатерина,Правильно,
Вячеслав,Вячеслав,Правильно,
Сільва,Сильва,Правильно,
Рза,Рза,,
Тігран,Тигран,Правильно,
Нінель,Нинель,Правильно,
В´ячеслав,Вячеслав,Правильно,
Євгенівна,Евгеньевна,Правильно,
Чаба,Чаба,Правильно,
Ійя,Ия,Правильно,
Дар’я,Дарья,Правильно,
Ігор,Игорь,Правильно,
Богдан Юрійович,Богдан Юриевич,Исправлено в админке,
Агія,Агия,Правильно,
Алина,Алина,Правильно,
Iван,Иван,Правильно,
Ірина,Ирина,Исправлено в оригинальной таблице и в админке,
Леонілла,Леонилла,Исправлено,
Лілія,Лилия,Правильно,
Андрій,Андрей,Исправлено в оригинальной таблице и в админке,
Афк,Афк,,
Айдин,Айдын,Правильно,
Орина,Орина,Исправлено,
В’ячеслав,Вячеслав,Правильно,
Віра,Вера,Правильно,
Зорян,Зорян,Правильно,
Завідувач,Заведующий,Правильно,
Даніїл,Даниил,Правильно,
Мар’ян,Марьян,Правильно,
Владислава,Владислава,Правильно,
Таісія,Таисия,Правильно,
Гізойович,Гизоевич,Исправлено,
Маратівна,Маратовна,Исправлено,
Віленівна,Виленовна,Исправлено,
Вячеславівна,Вячеславовна,Правильно,
Генріхович,Генрихович,Правильно,
Ігоревич,Игоревич,Правильно,
Маркіянівна,Маркияновна,Правильно,
Жоржович,Жоржевич,Правильно,
Теофілович,Теофилович,Правильно,
Начальника,Начальника,Правильно,
Ласлович,Ласлович,Правильно,
Андріїна,Андреевна,Правильно,
Антонійович,Антониевич,Исправлено,
Лоранович,Лоранович,Правильно,
Ремович,Ремович,Правильно,
Андрониківна,Андрониковна,Исправлено,
Мар'янович,Марьянович,Правильно,
Іннокентійович,Иннокентиевич,Исправлено,
