Іларіонович,Илларионович,Илларионович,12
Іларіонівна,Илларионовна,Илларионовна,12
евсейович,Евсеевич,,10
Ібрагімівна,ибрагимовна,,10
Ігнатіївна,Игнатьевна,,10
Іліодорович,илиодорович,,10
Іліодорівна,илиодоровна,,10
Інокентіївна,инокентьевна,,10
Іпатійович,ипатьевич,,10
Абдурахманівна,Абдурахмановна,,10
Абрахамівна,Абрахамовна,,10
Авдіївна,Авдеевна,,10
Авилівна,Авиловна,,10
Богуславівна,Богуславовна,,10
Варфоломіївна,Варфоломеевна,,10
Вольфівна,Вольфовна,,10
Гайдарівна,Гайдаровна,,10
Галактіонівна,Галактионовна,,10
Гордіївна,Гордеевна,,10
Едвардівна,эдвардовна,,10
Едгарівна,эдгаровна,,10
Едмондівна,эдмондовна,,10
Ельдарівна,эльдаровна,,10
Касьянович,Касьянович,,10
Касьянівна,Касьяновна,,10
Кіндратіївна,Кондратьевна,,10
Левівна,Левовна,,10
Марьянович,Марьянович,,10
Марьянівна,Марьяновна,,10
Матвійович,Матвеевич,,10
Матвіївна,Матвеевна,,10
Меркуріївна,Меркуриевна,,10
Микитівна,Никитична,,10
Милославівна,Милославовна,,10
Нахманівна,Нахмановна,,10
Ничипорівна,Никифоровна,,10
Оверьянович,Оверьянович,,10
Оверьянівна,Оверьяновна,,10
Оксентійович,Оксентиевич,,10
Онисимівна,Онисимовна,Анисимовна,10
Онопрійович,Оноприйович,,10
Онопріївна,Онопреевна,,10
Охрімівна,Охримовна,,10
Паїсійович,Паїсийович,,10
Паїсіївна,Паїсеевна,,10
Потапівна,Потаповна,,10
Ренатівна,Ренатовна,,10
Саввівна,Саввовна,,10
Свиридівна,Свиридовна,,10
Сигізмундович,Сигизмундович,,10
Терентійович,Терентьевич,Терентий,10
Терентіївна,Терентьевна,Терентий,10
Тимурівна,Тимуровна,,10
Уласівна,Уласовна,,10
Устиянівна,Устияновна,,10
Хомівна,Фомич,Фоминична,10
Юзефівна,Юзефовна,,10
евстафійович,Евстафьевич,Евстафиевич,9
Вікентійович,Викентьевич,Викентиевич,9
Віталійович,Витальевич,Виталиевич,9
Зіновійович,Зиновиевич,Зиновьевич,9
Карпівна,Карп,Карповна,9
Кузьмівна,Кузьминична,Козьма,9
Лаврентіївна,Лаврентьевна,Лаврентиевич,9
Луківна,Лукинична,Лукич,9
Онуфрійович,Ануфриевич,Онуфриевич,9
евстафіївна,Евстафиевна,Евстафьевна,8
Ігнатович,Игнатович,Игнатьевич,8
Анатолійович,Анатолиевич,Анатольевич,8
Аркадійович,Аркадьевич,Аркадиевич,8
Арсенійович,Арсениевич,Арсеньевич,8
Артемійович,Артемьевич,Артемиевич,8
Валерійович,Валериевич,Валерьевич,8
Віталіївна,Витальевна,Виталиевна,8
Геннадійович,Геннадиевич,Геннадьевич,8
Зіновіївна,Зиновиевна,Зиновьевна,8
Лаврентійович,Лаврентьевич,Лаврентиевич,8
Леонтійович,Леонтьевич,Леонтиевич,8
Микитович,Никитич,Никитович,8
Модестівна,Модестовна,Модестович,8
Онуфріївна,Онуфриевна,Ануфриевна,8
Порфирійович,Порфириевич,Порфирьевич,8
Савелійович,Савелиевич,Савельевич,8
Тадеївна,Тадеевич,Тадеивна,8
Феодосійович,Феодосьевич,Феодосиевич,8
Юлійович,Юльевич,Юлиевич,8
Юрійович,Юрьевич,Юриевич,8
Анатоліївна,Анатолиевна,Анатольевна,7
Аркадіївна,Аркадьевна,Аркадиевна,7
Арсеніївна,Арсениевна,Арсеньевна,7
Валеріївна,Валериевна,Валерьевна,7
Гаврилівна,Гаврииловна,Гавриловна,7
Геннадіївна,Геннадиевна,Геннадьевна,7
Давидівна,Давидовна,Давыдовна,7
Захарівна,Захаровна,Захариевна,7
Зиновіївна,Зиновиевна,Зиновьевна,7
Леонтіївна,Леонтьевна,Леонтиевна,7
Мефодіївна,Мефодиевна,Мефодьевна,7
Несторівна,Несторовна,Нестеровна,7
Порфиріївна,Порфириевна,Порфирьевна,7
Савеліївна,Савелиевна,Савельевна,7
Феодосіївна,Феодосиевна,Феодосьевна,7
Юліївна,Юлиевна,Юльевна,7
Юріївна,Юрьевна,Юриевна,7
Іллівна,Ильинична,,6
Агафонівна,Агафоновна,Агафонивна,6
евстахійович,Евстафьевич,,5
Ільківна,Ильинична,,5
Інокентійович,Иннокентьевич,,5
евгенійович,Евгеньевич,,4
ерофійович,Ерофеевич,,4
Ігнатійович,Игнатьевич,,4
Іраклійович,Ираклиевич,,4
Гнатович,Игнатьевич,,4
Гнатівна,Игнатьевна,,4
Карпович,Карп,,4
Кіндратійович,Кондратьевич,,4
Овсійович,Евсеевич,,4
Олексійович,Алексеевич,,4
Опанасович,Афанасьевич,,4
Опанасівна,Афанасьевна,,4
Панасович,Афанасьевич,,4
Панасівна,Афанасьевна,,4
Яківна,Яковлевна,,4
евгенович,Евгеньевич,,3
евгенівна,Евгеньевна,,3
евгеніївна,Евгеньевна,,3
евстахіївна,Евстахиевна,,3
елисейович,Елисеевич,,3
епіфанівна,Епифановна,,3
ермолайович,Ермолаевич,,3
ерофіївна,Ерофеевна,,3
Ігнатівна,Игнатьевна,,3
Ілліч,Ильич,,3
Іпатіївна,Ипатьевна,,3
Іполитівна,Ипполитовна,,3
Іракліївна,Ираклиевна,,3
Авдійович,Авдеевич,,3
Андрійович,Андреевич,,3
Афанасійович,Афанасьевич,,3
Варламівна,Варламович,,3
Варфоломійович,Варфоломеевич,,3
Веніамінівна,Вениаминовна,,3
Веремійович,Веремеевич,,3
Володимирівна,Владимировна,,3
Вікентіївна,Викентиевна,,3
Віссаріонівна,Виссарионовна,,3
Георгійович,Георгиевич,,3
Гордійович,Гордеевич,,3
Григорійович,Григорьевич,,3
Еммануїлівна,Эммануиловна,,3
Зиновійович,Зиновиевич,,3
Йосипівна,Иосифовна,,3
Клавдійович,Клавдиевич,,3
Корнійович,Корнеевич,,3
Костянтинівна,Константиновна,,3
Кузьмич,Козьма,,3
Кіндратович,Кондратьевич,,3
Кіндратівна,Кондратьевна,,3
Меркурійович,Меркурьевич,,3
Мефодійович,Мефодиевич,,3
Миколайович,Николаевич,,3
Мойсейович,Моисеевич,,3
Овсіївна,Евсеевна,,3
Оксентіївна,Аксентьевна,,3
Олексіївна,Алексеевна,,3
Омелянівна,Емельяновна,,3
Охрімович,Ефремович,,3
Пилипівна,Филипповна,,3
Сергійович,Сергеевич,,3
Силантійович,Силантиевич,,3
Тимофійович,Тимофеевич,,3
Фрідріхівна,Фридриховна,,3
Юхимівна,Ефимовна,,3
Якович,Яковлевич,,3
Яремівна,Ярема,,3
евграфівна,Евграфовна,,2
евдокимівна,Евдокимовна,,2
евсеївна,Евсеевна,,2
егорівна,Егоровна,,2
елисеївна,Елисеевна,,2
епіфанович,Епифанович,,2
ермолаївна,Ермолаевна,,2
ефремівна,Ефремовна,,2
Ібрагімович,Ибрагимович,,2
Іванівна,Ивановна,,2
Ігорович,Игоревич,,2
Ігорівна,Игоревна,,2
Іполитович,Ипполитович,,2
Адріанівна,Адриановна,,2
Андріївна,Андреевна,,2
Арсенович,Арсеньевич,,2
Арсенівна,Арсеньевна,,2
Артеміївна,Артемиевна,,2
Афанасіївна,Афанасьевна,,2
Броніславівна,Брониславовна,,2
Вьячеславівна,Вячеславовна,,2
Валеріанівна,Валериановна,,2
Василівна,Васильевна,,2
Веніамінович,Вениаминович,,2
Вереміївна,Веремеевна,,2
Володимирович,Владимирович,,2
Вікторівна,Викторовна,,2
Вільгельмівна,Вильгельмовна,,2
Віссаріонович,Виссарионович,,2
Вітольдівна,Витольдовна,,2
Георгіївна,Георгиевна,,2
Глібівна,Глебовна,,2
Григорович,Григорьевич,,2
Григорівна,Григорьевна,,2
Григоріївна,Григорьевна,,2
Демьянівна,Демьяновна,,2
Дмитрович,Дмитриевич,,2
Дмитрівна,Дмитриевна,,2
Едуардівна,Эдуардовна,,2
Еммануїлович,Эммануилович,,2
Захарович,Захариевич,,2
Йосипович,Иосифович,,2
Капітонівна,Капитоновна,,2
Кирилівна,Кирилловна,,2
Клавдіївна,Клавдиевна,,2
Корніївна,Корнеевна,,2
Костянтинович,Константинович,,2
Купріянівна,Куприяновна,,2
Леонідівна,Леонидовна,,2
Лукьянівна,Лукьяновна,,2
Мартинівна,Мартыновна,,2
Миколаївна,Николаевна,,2
Мойсеївна,Моисеевна,,2
Олександрівна,Александровна,,2
Олексівна,Алексовна,,2
