,,,,,,
(проходить процедуру погогдження) начальник,(is in the process of agreement) chief,,,,(is in the process of agreement) Head,
"заступник, тимчасово виконуючий обов ’язки керівника","Deputy, acting Director",,,,"Deputy, Acting Director",
"Cуддя, секретар Пленуму Верховного Суду України","Judge, Secretary of the Plenum of the Supreme Court of Ukraine",,,,"Judge, Secretary of the Plenum of Supreme Court of Ukraine",
Бенефіціарний власник,Beneficial owner,,,,Beneficial owner,
В.О. Голови,V. A. Chairman,,,,Acting Chairman,
В.О. Начальника,V. A. Chief,,,,Acting Head,
В.О. керівника,V. A. head,,,,Acting Head,
В.О.Начальника,V. A. Chief,,,,Acting hrad,
В.о.,V. a.,,,,Acting,
В.о. Генерального секретаря,V. a. The Secretary-General,,,,Acting General Secretary,
В.о. Голови,V. a. Chairman,,,,Acting Head,
В.о. Голови Партії,V. a. The Chairman of The Party,,,,Acting Chairman of The Party,
В.о. Голови правління,V. a. The Chairman of the Board,,,,Acting Chairman of The Board,
В.о. Голови правління ПАТ,V. a. The Chairman of the Board PJSC,,,,Acting Chairman of the Board of PJSC,
В.о. Директора,V. a. Director,,,,Acting Director,
В.о. Заступник Голови Правління Національного банку України,V. a. Deputy Chairman of the Board of the National Bank of Ukraine,,,,Deputy Chairman of the Board of the National Bank of Ukraine,
В.о. Керівника,V. a. Head,,,,Acting Head,
В.о. генерального директора,V. a. General Director,,,,Acting CEO,
В.о. голови Партії,V. a. the Chairman of the Party,,,,Acting Chairman of the Party,
В.о. голови правління,V. a. the Chairman of the Board,,,,Acting Chairman of the Board,
В.о. головного бухгалтера,V. a. chief accountant,,,,Acting Chief Accountant,
В.о. директора,V. a. Director,,,,Acting Director,
В.о. заступника директора з режиму кадрів,V. a. Deputy Director for HR mode,,,,Acting Deputy HR Director,
В.о. начальника,V. a. head,,,,Acting Head,
В.о.Голови,V. a.Chairman,,,,Acting Head,
В.о.Заступник Голови Національного банку України,V. a.Deputy Chairman of the National Bank of Ukraine,,,,Acting Deputy Head of the National Bank of Ukraine,
Виконавчий директор,Executive Director,,,,Executive Director,
"Виконавчий директор з юридичних питань та супроводу процедур закупівель, член правління","Executive Director for legal issues and procedures of procurement, member of the Board",,,,"Executive Director for Legal Issues and Buying Process Support, Member of the Board",
Виконувач обов’язків Голови Державного агентства водних ресурсів України,The acting Chairman of the State Agency of water resources of Ukraine,,,,Acting Chairman of the State Agency of Water Resources of Ukraine,
Виконувач обов’язків Голови Фонду державного майна України,The acting Chairman of the State property Fund of Ukraine,,,,Acting Chairman of the State Property Fund of Ukraine,
Виконувач обов’язків начальника,Acting chief,,,,Acting Head,
Виконувач обов’язків начальника управління,Acting head of Department,,,,Acting Head of Department ,
Виконувач обов’язків начальника інспекції,Acting head of inspection,,,,Acting Head of Inspection,
Виконуючий обов'язки Голови Державної служби України з надзвичайних ситуацій,The acting Chairman of the State Service of Ukraine for emergency situations,,,,Acting Chairman of the State Emergency Service of Ukraine,
Виконуючий обов’язки керівника,Acting head,,,,Acting Head,
Військовий Прокурор Західного регіону України,The military Prosecutor of the Western region of Ukraine,,,,Chief Military Prosecutor of Western Region of Ukraine,
Військовий Прокурор Південного регіону України,The military Prosecutor of the southern region of Ukraine,,,,Chief Military Prosecutor of Southern Region of Ukraine,
Військовий Прокурор Центрального регіону України,The military Prosecutor of the Central region of Ukraine,,,,Chief Military Prosecutor of Central Region of Ukraine,
Військовий комісар,Military Commissar,,,,Military Commissioner,
"Віце-президент, член правління","Vice President, Board member",,,,"Vice President, member of the Board",
Генеральний директор,CEO,,,,Chief Executive Officer,
"Генеральний директор ВП ""Атоменергомаш""","General Director of ""Atomenergomash""",,,,"Chief Executive Officer of SS ""Atomenergomash""",
"Генеральний директор ВП ""Атомпроектінжиніринг""","The General Director of se ""Atomproektengineering""",,,,"Chief Executive Officer of SS ""Atomprojectengineering""",
"Генеральний директор ВП ""Запорізька АЕС"", член правління","CEO of separated subdivision ""Zaporizhzhya NPP"", member of the Board",,,,"Chief Executive Officer of SS ""Zaporizhzhya NPP"", Member of the Board",
