"1 заступник, тимчасово виконуючий обов ’язки керівника",в.о. Керівника
в. о. начальника,в.о. Начальника
в. о. начальника головного управління держземагентства у вінницькій області,в.о. Начальника
в. о. прокурора луганської області,в.о. Прокурора області
в. о. прокурора міста києва,в.о. Прокурора міста Києва
в. о. прокурора рівненської області,в.о. Прокурора області
в. о. прокурора тернопільської області,в.о. Прокурора області
в. о. прокурора чернігівської області,в.о. Прокурора області
в.о голови районної державної адміністрації,в.о. Голови РДА
в.о директора,в.о. Директора
в.о. генерального директора,в.о. Генерального директора
в.о. генерального директора- художнього керівника,в.о. Генерального директора
в.о. генерального секретаря,в.о. Генерального секретаря
в.о. голови,в.о. Голови
в.о. голови національного банку україни,в.о. Голови НБУ
в.о. голови партії,в.о. Голови
в.о. голови правління,в.о. Голови правління
в.о. голови правління ват,в.о. Голови правління
в.о. голови правління пат,в.о. Голови правління
в.о. голови районної державної адміністрації,в.о. Голови РДА
в.о. директор,в.о. Директора
в.о. директора,в.о. Директора
в.о. керівника,в.о. Керівника
в.о. начальник,в.о. Начальника
в.о. начальника,в.о. Начальника
в.о. начальника головного територіального управління юстиції у вінницькій області,в.о. Начальника
в.о. начальника митниці,в.о. Начальника
в.о. начальника регіонального відділення фонду державного майна україни по вінницькій області,в.о. Начальника
"в.о. начальника, голова комісії з ліквідаці","в.о. Начальника, Голова комісії з ліквідаці"
в.о.генерального директора,в.о. Генерального директора
в.о.голови,в.о. Голови
в.о.голови донецького обласного територіального відділення,в.о. Голови
в.о.голови правління,в.о. Голови правління
в.о.голови правління-генеральний директор,в.о. Голови правління
в.о.директора,в.о. Директора
в.о.начальника,в.о. Начальника
в.о.начальника інспекції,в.о. Начальника
в.о.начальника черкаської митниці дфс,в.о. Начальника
в.о.прокурора київської області,в.о. Прокурора області
виконавчий директор,Виконавчий директор
виконувач обов’язків голови державного агентства водних ресурсів україни,в.о. Голови
виконувач обов’язків голови фонду державного майна україни - перший заступник голови,в.о. Голови
виконувач обов’язків начальника,в.о. Начальника
виконувач обов’язків начальника інспекції,в.о. Начальника
виконувач обов’язків начальника управління,в.о. Начальника
виконує обов’язки генерального директора,в.о. Генерального директора
виконує обов’язки директора,в.о. Директора
виконуюча обовязки голови правління пат,в.о. Голови правління
виконуючий обов’язки генерального директора,в.о. Генерального директора
виконуючий обов’язки голови,в.о. Голови
виконуючий обов’язки голови правління,в.о. Голови правління
виконуючий обов’язки директора,в.о. Директора
виконуючий обов’язки керівника,в.о. Керівника
виконуючий обов'язки генерального директора,в.о. Генерального директора
виконуючий обов'язки голови державної служби україни з надзвичайних ситуацій,в.о. Голови
"виконуючий обовязки голови, перший заступник голови",в.о. Голови
виконуючий обов'язки директора,в.о. Директора
виконуючий обов'язки начальника,в.о. Начальника
військовий комісар,Військовий комісар
генеральний директор,Генеральний директор
генеральний директор - головний лікар,Генеральний директор
генеральний директор-художній керівник,Генеральний директор
генеральний продюсер-директор,Директор
генеральний прокурор,Генеральний прокурор України
генеральний прокурор україни,Генеральний прокурор України
голова,Голова
голова  апеляційного суду закарпатської області,Голова суду
голова апеляційного суду  полтавської області,Голова суду
голова апеляційного суду донецької області,Голова суду
голова апеляційного суду житомирської області,Голова суду
голова апеляційного суду миколаївської області,Голова суду
голова апеляційного суду сумської області,Голова суду
